sequencia,codigo,tendencia,incerteza,data_analise,resultado
1,MDS-CQ-001,"2,16","0,66",05/01/2026,Reprovado
2,MDS-CQ-001,"6,5","2,55",5/1/2026,Aprovado
1,MDS-CQ-002,"1,8","0,66",5/1/2026,Reprovado
2,MDS-CQ-002,"1,76","2,55",5/1/2026,Aprovado
1,MDS-CQ-021,"1,3","0,66",5/1/2026,Aprovado
2,MDS-CQ-021,"5,8","2,55",5/1/2026,Aprovado
1,MDS-CQ-003,"1,2","0,66",5/1/2026,Aprovado
2,MDS-CQ-003,"10,2","2,55",05/01/2026,Aprovado
1,MDS-CQ-004,"1,4","0,66",05/01/2026,Aprovado
2,MDS-CQ-004,"7,7","2,55",05/01/2026,Aprovado
1,MDS-CQ-006,"0,8","0,66",05/01/2026,Aprovado
2,MDS-CQ-006,11,"2,55",05/01/2026,Aprovado
3,MDS-CQ-006,11,"2,55",05/01/2026,Aprovado
1,MDS-CQ-007,"1,3","0,66",05/01/2026,Aprovado
2,MDS-CQ-007,"10,3","2,55",05/01/2026,Aprovado
1,MDS-CQ-008,1,"0,66",05/01/2026,Aprovado
2,MDS-CQ-008,"8,3","2,55",05/01/2026,Aprovado
1,MDS-CQ-009,"1,4","0,66",05/01/2026,Aprovado
2,MDS-CQ-009,7,"2,55",5/1/2026,Aprovado
1,MDS-CQ-010,"1,4","0,66",05/01/2026,Aprovado
2,MDS-CQ-010,"9,9","2,55",05/01/2026,Aprovado
1,MDS-CQ-011,"0,4","0,66",05/01/2026,Aprovado
2,MDS-CQ-011,12,"2,55",05/01/2026,Aprovado
1,MDS-CQ-012,"0,01","0,66",05/01/2026,Aprovado
2,MDS-CQ-012,"4,1","2,55",05/01/2026,Aprovado
1,MDS-CQ-013,"1,3","0,66",05/01/2026,Aprovado
2,MDS-CQ-013,"8,1","2,55",05/01/2026,Aprovado
1,MDS-CQ-014,1,"0,66",05/01/2026,Aprovado
2,MDS-CQ-014,"2,9","2,55",05/01/2026,Aprovado
1,MDS-CQ-015,"1,4","0,66",05/01/2026,Aprovado
2,MDS-CQ-015,"11,2","2,55",05/01/2026,Aprovado
1,MDS-CQ-016,"0,3","0,66",05/01/2026,Aprovado
2,MDS-CQ-016,"3,2","2,55",05/01/2026,Aprovado
1,MDS-CQ-017,"0,4","0,66",05/01/2026,Aprovado
2,MDS-CQ-017,"13,4","2,55",5/1/2026,Aprovado
1,MDS-CQ-018,"1,2","0,66",05/01/2026,Aprovado
2,MDS-CQ-018,"9,8","2,55",5/1/2026,Aprovado
1,MDS-CQ-020,"1,1","0,66",5/1/2026,Aprovado
2,MDS-CQ-020,"8,5","2,55",05/01/2026,Aprovado
1,MDS-CQ-022,"0,3","0,66",5/1/2026,Aprovado
2,MDS-CQ-022,"13,1","2,55",5/1/2026,Aprovado
1,MDS-CQ-023,"1,1","0,66",5/1/2026,Aprovado
2,MDS-CQ-023,"9,4","2,55",5/1/2026,Aprovado
1,MDS-CQ-024,"-0,6","0,06",5/1/2026,Aprovado
2,MDS-CQ-024,"15,4","2,55",5/1/2026,Aprovado
1,MDS-CQ-026,"0,5","0,66",5/1/2026,Aprovado
2,MDS-CQ-026,"8,8","2,55",5/1/2026,Aprovado
1,MDS-CQ-027,"1,2","0,66",5/1/2026,Aprovado
2,MDS-CQ-027,"2,6","2,55",5/1/2026,Aprovado
1,MDS-CQ-029,"0,3","0,66",5/1/2026,Aprovado
2,MDS-CQ-029,"9,5","2,55",5/1/2026,Aprovado
1,MDS-CQ-030,"1,1","0,66",5/1/2026,Aprovado
2,MDS-CQ-030,"10,3","2,55",05/01/2026,Aprovado
1,MDS-CQ-031,"1,1","0,66",05/01/2026,Aprovado
2,MDS-CQ-031,"3,8","2,55",05/01/2026,Aprovado
1,MDS-CQ-032,"1,2","0,66",05/01/2026,Aprovado
2,MDS-CQ-032,13,"2,55",05/01/2026,Aprovado
1,MDS-CQ-033,"0,46","0,66",05/01/2026,Aprovado
2,MDS-CQ-033,"12,46","2,55",05/01/2026,Aprovado
1,MDS-AL-016,"0,7","0,66",05/01/2026,Aprovado
2,MDS-AL-016,"8,1","2,55",05/01/2026,Aprovado
1,MDS-AL-017,"0,4","0,66",05/01/2026,Aprovado
2,MDS-AL-017,"10,6","2,55",05/01/2026,Aprovado
1,MDS-AL-018,"1,2","0,66",05/01/2026,Aprovado
2,MDS-AL-018,"10,3","2,55",05/01/2026,Aprovado
1,MDS-AL-019,"0,9","0,66",05/01/2026,Aprovado
2,MDS-AL-019,"11,7","2,55",05/01/2026,Aprovado
1,MDS-AL-020,"0,3","0,66",05/01/2026,Aprovado
2,MDS-AL-020,"12,1","2,55",05/01/2026,Aprovado
1,MDS-AL-021,"1,1","0,66",05/01/2026,Aprovado
2,MDS-AL-021,"3,2","2,55",05/01/2026,Aprovado
1,MDS-AL-022,"0,2","0,66",05/01/2026,Aprovado
2,MDS-AL-022,"12,8","2,55",05/01/2026,Aprovado
1,MDS-AL-023,"0,2","0,66",05/01/2026,Aprovado
2,MDS-AL-023,"14,6","2,55",05/01/2026,Aprovado
1,MDS-AL-024,"0,3","0,66",05/01/2026,Aprovado
2,MDS-AL-024,"16,6","2,55",05/01/2026,Aprovado
1,MDS-AL-025,"0,2","0,66",05/01/2026,Aprovado
2,MDS-AL-025,"11,9","2,55",05/01/2026,Aprovado
1,MDS-AL-026,"1,1","0,66",05/01/2026,Aprovado
2,MDS-AL-026,"11,7","2,55",05/01/2026,Aprovado
1,MDS-AL-027,"0,6","0,66",05/01/2026,Aprovado
2,MDS-AL-027,"1,7","2,55",05/01/2026,Aprovado
1,MDS-AL-028,"1,3","0,66",05/01/2026,Aprovado
2,MDS-AL-028,"11,7","2,55",05/01/2026,Aprovado
1,MDS-AL-029,"0,4","0,66",05/01/2026,Aprovado
2,MDS-AL-029,"4,03","2,55",05/01/2026,Aprovado
1,MDS-AL-030,"0,4","0,66",05/01/2026,Aprovado
1,MDS-AL-031,"1,4","0,66",05/01/2026,Aprovado
2,MDS-AL-031,"15,3","2,55",05/01/2026,Aprovado
1,MDS-AL-032,"1,2","0,66",05/01/2026,Aprovado
2,MDS-AL-032,"13,2","2,55",05/01/2026,Aprovado
2,MDS-AL-030,"6,8","2,55",02/06/2025,Aprovado
1,MDS-CQ-005,"1,35","0,66",05/01/2026,Aprovado
2,MDS-CQ-005,"5,56","2,55",05/01/2026,Aprovado
1,MDS-AL-010,"0,9","0,66",05/01/2025,Aprovado
2,MDS-AL-010,"11,56","2,55",05/01/2025,Aprovado
