sequencia,codigo,descricao,nominal_min,nominal_max,unidade,periodicidade,tolerancia_min,tolerancia_max
1,GBR-SO-001,MONTAGEM DA 5° RODA CBH-2E,,,mm,,0,0
1,GBR-SO-002,SUPORTE CARRETA UVA,,,mm,,0,0
1,GBR-SO-003,CORPO DO EIXO TANDEM 5000 // 6000,,,mm,,0,0
1,GBR-SO-004,EIXO TANDEM CARRETA UVA,,,mm,,0,0
1,GBR-SO-005,EIXO TANDEM 5000 / 6000,,,mm,,0,0
1,GBR-SO-006,CHASSI FA // FB // FA FIXA,,,mm,,0,0
1,GBR-SO-007,CHASSI CARRETA UVA,,,mm,,0,0
1,GBR-SO-008,CHASSI FMI (DESATIVADO),,,mm,,0,0
1,GBR-SO-009,CHASSI-2E CBH // TANDEM 2E,,,mm,,0,0
1,GBR-SO-010,"ESTRUTURA PLATAFORMA 3,20 m F4//FA4",,,mm,,0,0
1,GBR-SO-011,ESTRUTURA PLATAFORMA 4 m (F6 - FA6 - FA6E),,,mm,,0,0
1,GBR-SO-012,PLATAFORMA CBHM6000 2E,,,mm,,0,0
1,GBR-SO-013,SUPORTE TANDEM 5000/6000,,,mm,,0,0
1,GBR-SO-014,EIXO TRASEIRO CBH6-2E // EIXO F4 // MONTAGEM F6 // MONTAGEM FA-FB RS/RD,,,mm,,0,0
1,GBR-SO-015,EIXO 5000 / 6000 / 7000 // EIXO 4500 RD // EIXO 4500 RS // EIXO 5000 CM,,,mm,,0,0
1,GBR-SO-016,EIXOS DIANTEIROS - TRASEIRO F4 // F6 // CENOURA,,,mm,,0,0
1,GBR-SO-017,MONTAR FUEIRO TRASEIRO LE. - CBH AB. LAT.,,,mm,,0,0
1,GBR-SO-018,FUEIRO TRASEIRO 5000 // 4500 // 3500,,,mm,,0,0
1,GBR-SO-019,MONTAGEM FUEIRO TRASEIRO ABERTURA LATERAL LADO DIREITO,,,mm,,0,0
1,GBR-SO-020,CHASSI FA TANDEM 6000,,,mm,,0,0
1,GBR-SO-021,GABARITO P/ MONT. DAS GRADES CBHM - 45X4500 - 5000,,,mm,,0,0
1,GBR-SO-022,TAMPA LATERAL SUP./INF. CBH6 AB.L,,,mm,,0,0
1,GBR-SO-023,ESTRUTURA LATERAL // TRASEIRA  5000 // 6000,,,mm,,0,0
1,GBR-SO-024,GABARITO DO GIGANTE 45 / 60 / 90 - F4 - F6 (MADEIRA),,,mm,,0,0
1,GBR-SO-025,GIGANTE CARRETA UVA//MANGA//METÁLICA,,,mm,,0,0
1,GBR-SO-026,TAMPA TRASEIRA CBHM 5000 // 10000,,,mm,,0,0
1,GBR-SO-027,TRASEIRA CBHM 4500,,,mm,,0,0
1,GBR-SO-028,MONTAR TAMPA TRAS. CBH ABL,,,mm,,0,0
1,GBR-SO-029,MONTAR LATERAL CBH5,,,mm,,0,0
1,GBR-SO-030,CHASSI F6 CM // F6 SM,,,mm,,0,0
1,GBR-SO-033,CHASSI // PLATAFORMA CBHM,,,mm,,0,0
1,GBR-SO-034,CAÇAMBA CBH 5000 / 4500,,,mm,,0,0
1,GBR-SO-035,CAÇAMBA CBH 5000 // 6000,,,mm,,0,0
1,GBR-SO-036,PLATAFORMA CBHM 5000 // 6000 // 7000 (1E),,,mm,,0,0
1,GBR-SO-037,MONTAGEM FUEIRINHO,,,mm,,0,0
1,GBR-SO-038,MONTAGEM PINO DO ENGATE,,,mm,,0,0
1,GBR-SO-039,MONTAGEM DO MANCAL,,,mm,,0,0
1,GBR-SO-041,FECHAMENTO SUPERIOR CBH,,,mm,,0,0
1,GBR-SO-042,CHASSI CBHF,,,mm,,0,0
1,GBR-SO-043,CHASSI CBH5,,,mm,,0,0
1,GBR-SO-044,MONTAGEM DA 5° RODA F4,,,mm,,0,0
1,GBR-SO-045,MONTAGEM IÇAMENTO CBHF CS/SS,,,mm,,0,0
1,GBR-SO-046,IÇAMENTO FA6//FAB//FA2,,,mm,,0,0
1,GBR-SO-047,IÇAMENTO FA - FB//FA4 SEM FREIO,,,mm,,0,0
1,GBR-SO-048,MONTAGEM IÇAMENTO C/ENSILADEIRA CBHM5000,,,mm,,0,0
1,GBR-SO-049,BASE MÓVEL ENCILADEIRA,,,mm,,0,0
1,GBR-SO-050,IÇAMENTO CBHM-2E //F4/6,,,mm,,0,0
1,GBR-SO-051,"IÇAMENTO FA 3,5 MFI (DESATIVADO)",,,mm,,0,0
1,GBR-SO-052,MONTAR CHASSI-CBH12,,,mm,,0,0
1,GBR-SO-053,MONTAR CHASSI PARA CAÇAMBA - CBH9TON,,,mm,,0,0
1,GBR-SO-054,MONTAR CHASSI PARA CAÇAMBA - CBH12TON,,,mm,,0,0
1,GBR-SO-055,MONTAR CHASSI - CBH9TON,,,mm,,0,0
1,GBR-SO-056,MONTAR EIXO DIANT. CBH6-2E,,,mm,,0,0
1,GBR-SO-057,MONTAR EIXO DIANT. CBH9/12//FT10500/12500,,,mm,,0,0
1,GBR-SO-058,MONTAR EIXO TANDEM - CBH12//FT12500,,,mm,,0,0
1,GBR-SO-059,MONTAR EIXO TRAS. - CBH9TON,,,mm,,0,0
1,GBR-SO-060,CAÇAMBA CBH9/12,,,mm,,0,0
1,GBR-SO-061,MONTAGEM TANQUE 4500,,,mm,,0,0
1,GBR-SO-062,MONTAGEM LONGARINAS TANQUE 4500,,,mm,,0,0
1,GBR-SO-063,MONTAGEM TANQUE 6500,,,mm,,0,0
1,GBR-SO-064,MONTAR FIXAÇÃO BRAÇO CBH9/12 //FT12500,,,mm,,0,0
1,GBR-SO-065,MONTAR ESTABILIZADOR CBH12/9 //FT12500,,,mm,,0,0
1,GBR-SO-066,MONTAR 5° RODA CBH9/12 // FT12500,,,mm,,0,0
1,GBR-SO-067,MONTAR IÇAMENTO CBH9/12 // FT12500,,,mm,,0,0
1,GBR-SO-068,MONTAR MANIVELA BOBOLETA - FTC6000,,,mm,,0,0
1,GBR-SO-069,MONTAR OS CONJ. APOIO DA MANGUEIRAS - FTC6500 - FT10500/12500,,,mm,,0,0
1,GBR-SO-070,MONTAR VARÃO DA TRAVA MENOR CBH/CBHM,,,mm,,0,0
1,GBR-SO-071,"MONTAR CORRENTE C/PARAF. FRANC. 5/16"" X 1.1/2"" - F6",,,mm,,0,0
1,GBR-SO-072,MONTAR VARÃO DA TRAVA MAIOR/MÉDIO - CBH/CBHM,,,mm,,0,0
1,GBR-SO-073,MONTAR ENGATE CBH/CBHM - CBHF,,,mm,,0,0
1,GBR-SO-074,MONTAR ENGATE F4/F6/FA,,,mm,,0,0
1,GBR-SO-075,MONTAR BASE MÓVEL DO MACACO,,,mm,,0,0
1,GBR-SO-076,REGULADOR DO VARÃO - CBH/CBHM,,,mm,,0,0
1,GBR-SO-077,MONTAR PORTA TRAVA DE RÉ - CARRETAS,,,mm,,0,0
1,GBR-SO-078,MONTAR TAMPA TRAS. - FT12500,,,mm,,0,0
1,GBR-SO-079,MONTAR AS BUCHAS DA BASE DA GAIOLA (TANQUE),,,mm,,0,0
1,GBR-SO-080,MONTAR OS REFORÇO DA PLATAF. DA GAIOLA (TANQUE),,,mm,,0,0
1,GBR-SO-081,SUPORTE DA RODA GUIA  [ROÇAX1800],,,mm,,0,0
1,GBR-SO-082,HASTE TORRE DESLIZANTE ROÇAX1800,,,mm,,0,0
1,GBR-SO-083,CHASSI ROÇAX1800,,,mm,,0,0
1,GBR-SO-084,RODA GUIA ROÇAX1800,,,mm,,0,0
1,GBR-SO-085,SUPORTE FRONTAL DO CHASSI CTH4500,,,mm,,0,0
1,GBR-SO-086,MONTAR CHASSI CTH4500,,,mm,,0,0
1,GBR-SO-087,MONTAR CAÇAMBA CTH4500,,,mm,,0,0
1,GBR-SO-088,GABARITO MOLDURA P/MONTAR COMPLEM. LAT. DA CAÇAMBA TRANSBORDO,,,mm,,0,0
1,GBR-SO-089,GABARITO P/MONTAR COMPLEM. SUP. DIANT./ TRAS. DA CAÇAMBA DO TRANSBORDO,,,mm,,0,0
1,GBR-SO-090,GABARITO P/ MONTAR COMPLEM. LAT. DO TRANSBORDO,,,mm,,0,0
1,GBR-SO-091,GABARITO P/ MONTAR CHASSI FA5,,,mm,,0,0
1,GBR-SO-092,GABARITO P/ MONTAR CHASSI CTH4500,,,mm,,0,0
