instrumento,laboratorio,data_envio
GBR-SO-001,CEMAG,07/11/2024
GBR-SO-002,CEMAG,27/01/2025
GBR-SO-003,CEMAG,22/02/2025
GBR-SO-004,CEMAG,22/02/2025
GBR-SO-005,CEMAG,04/02/2025
GBR-SO-006,CEMAG,21/02/2025
GBR-SO-007,CEMAG,27/03/2024
GBR-SO-009,CEMAG,09/10/2024
GBR-SO-010,CEMAG,08/11/2024
GBR-SO-011,CEMAG,19/11/2024
GBR-SO-012,CEMAG,23/12/2024
GBR-SO-013,CEMAG,30/01/2025
GBR-SO-014,CEMAG,27/01/2025
GBR-SO-015,CEMAG,3/2/2025
GBR-SO-016,CEMAG,28/1/2025
GBR-SO-017,CEMAG,19/7/2025
GBR-SO-018,CEMAG,5/11/2024
GBR-SO-019,CEMAG,6/11/2024
GBR-SO-020,CEMAG,23/3/2024
GBR-SO-021,CEMAG,9/11/2024
GBR-SO-022,CEMAG,6/11/2024
GBR-SO-023,CEMAG,7/1/2025
GBR-SO-024,CEMAG,06/01/2025
GBR-SO-025,CEMAG,06/11/2024
GBR-SO-026,CEMAG,23/3/2024
GBR-SO-027,CEMAG,23/03/2024
GBR-SO-028,CEMAG,03/07/2025
GBR-SO-029,CEMAG,22/05/2025
GBR-SO-030,CEMAG,23/03/2024
GBR-SO-033,CEMAG,23/03/2024
GBR-SO-034,CEMAG,22/02/2025
GBR-SO-035,CEMAG,16/1/2025
GBR-SO-036,CEMAG,26/12/2024
GBR-SO-037,CEMAG,3/7/2025
GBR-SO-038,CEMAG,22/03/2024
GBR-SO-039,CEMAG,23/03/2024
GBR-SO-041,CEMAG,03/07/2025
GBR-SO-042,CEMAG,23/03/2024
GBR-SO-043,CEMAG,22/02/2025
GBR-SO-044,CEMAG,28/01/2025
GBR-SO-045,CEMAG,11/02/2025
GBR-SO-046,CEMAG,07/01/2025
GBR-SO-047,CEMAG,07/02/2025
GBR-SO-048,CEMAG,13/11/2024
GBR-SO-049,CEMAG,13/11/2024
GBR-SO-050,CEMAG,22/01/2025
GBR-SO-051,CEMAG,
GBR-SO-052,CEMAG,12/02/2025
GBR-SO-053,CEMAG,12/11/2024
GBR-SO-054,CEMAG,09/01/2025
GBR-SO-055,CEMAG,05/01/2025
GBR-SO-056,CEMAG,17/12/2024
GBR-SO-057,CEMAG,14/11/2024
GBR-SO-058,CEMAG,27/01/2025
GBR-SO-059,CEMAG,12/11/2024
GBR-SO-060,CEMAG,16/01/2025
GBR-SO-061,CEMAG,27/12/2024
GBR-SO-062,CEMAG,13/02/2025
GBR-SO-063,CEMAG,21/01/2025
GBR-SO-064,CEMAG,15/01/2025
GBR-SO-065,CEMAG,20/01/2025
GBR-SO-066,CEMAG,27/12/2024
GBR-SO-067,CEMAG,17/12/2024
GBR-SO-068,CEMAG,28/01/2025
GBR-SO-069,CEMAG,14/01/2025
GBR-SO-070,CEMAG,06/02/2025
GBR-SO-071,CEMAG,11/02/2025
GBR-SO-072,CEMAG,03/02/2025
GBR-SO-073,CEMAG,08/01/2025
GBR-SO-074,CEMAG,12/02/2025
GBR-SO-075,CEMAG,13/11/2024
GBR-SO-076,CEMAG,17/12/2024
GBR-SO-077,CEMAG,03/07/2025
GBR-SO-078,CEMAG,23/05/2025
GBR-SO-079,CEMAG,03/07/2025
GBR-SO-080,CEMAG,03/07/2025
GBR-SO-081,CEMAG,22/02/2025
GBR-SO-082,CEMAG,17/02/2025
GBR-SO-083,CEMAG,22/02/2025
GBR-SO-084,CEMAG,22/02/2025
GBR-SO-085,CEMAG,12/02/2025
GBR-SO-086,CEMAG,17/02/2025
GBR-SO-087,CEMAG,22/02/2025
GBR-SO-088,CEMAG,05/03/2025
GBR-SO-089,CEMAG,21/03/2025
GBR-SO-090,CEMAG,22/03/2025
GBR-SO-091,CEMAG,21/10/2025
GBR-SO-092,CEMAG,10/10/2025
